"gene","logFC","SE","statistic","P_value","FDR","mean_expression","AveExpr","t","P.Value","adj.P.Val","B"
"ING3",-0.579676837158623,0.531975234178755,-1.12927165526462,0.271579452086497,0.635401928348221,6.57733665541059,6.57733665541059,-1.12927165526462,0.271579452086497,0.635401928348221,-4.5894826833975
"XRCC4",-0.168661672472075,0.395010541771107,-0.413483669077943,0.683452793812945,0.853658826118285,5.33839720465168,5.33839720465168,-0.413483669077943,0.683452793812945,0.853658826118285,-4.61530347882107
"CYP2J2",1.04379589338624,0.515715516117013,2.08569712540005,0.0494535517317126,0.624223528415956,3.98179743324515,3.98179743324515,2.08569712540005,0.0494535517317126,0.624223528415956,-4.52925024838534
"SLC22A5",-0.496237480812757,0.52120095747476,-0.98306463090934,0.336820595474582,0.663669918240047,5.2549749432356,5.2549749432356,-0.98306463090934,0.336820595474582,0.663669918240047,-4.59644721244575
"SERPINF2",0.928881088888889,0.533872298503787,1.8042661316739,0.0856230393643719,0.624223528415956,4.82768110679012,4.82768110679012,1.8042661316739,0.0856230393643719,0.624223528415956,-4.54897339584734
"MTMR11",-2.22213145195473,0.84827513433806,-2.87417937392355,0.00910868148577762,0.624223528415956,5.92961078472222,5.92961078472222,-2.87417937392355,0.00910868148577762,0.624223528415956,-4.47067933348096
"PIGF",-0.241328691049383,0.312141158413839,-0.690315592488792,0.497515755084652,0.754430926923972,7.20303359377572,7.20303359377572,-0.690315592488792,0.497515755084652,0.754430926923972,-4.60790033156385
"MPDZ",-1.09364107006173,0.651697729878961,-1.79311378503636,0.0874413841724707,0.624223528415956,6.75326473852881,6.75326473852881,-1.79311378503636,0.0874413841724707,0.624223528415956,-4.54972949413738
"RARB",0.320804751851852,0.35495536939905,0.845940372593522,0.407080756945019,0.702337618211101,4.70458744002058,4.70458744002058,0.845940372593522,0.407080756945019,0.702337618211101,-4.60224813920298
"CRIP1",-1.3988793287037,0.898536861408764,-1.71547049490697,0.101049517666708,0.624223528415956,8.82907600694444,8.82907600694444,-1.71547049490697,0.101049517666708,0.624223528415956,-4.55492944934612
"AOX1",0.987008882510289,0.538039377681839,1.90492419525217,0.0706443660365236,0.624223528415956,5.74988103847737,5.74988103847737,1.90492419525217,0.0706443660365236,0.624223528415956,-4.54205314433163
"BCAP29",-0.939338564183501,0.827966463017139,-1.24235884228226,0.227864964557207,0.628217184379099,6.85451943508932,6.85451943508932,-1.24235884228226,0.227864964557207,0.628217184379099,-4.58358660761295
"ORC1",-0.0135773386831276,0.329321418575276,-0.0375749111617951,0.970379672419988,0.988808702092694,4.55908467191358,4.55908467191358,-0.0375749111617951,0.970379672419988,0.988808702092694,-4.61950349534788
"NCAPH2",0.432368299176956,0.410702014545122,1.0306696085095,0.314471908046727,0.655600976667593,6.88598935401235,6.88598935401235,1.0306696085095,0.314471908046727,0.655600976667593,-4.5942649084049
"RWDD3",-0.979443575925925,0.828552265172286,-1.2945603719243,0.209593754368441,0.624223528415956,5.4536859994856,5.4536859994856,-1.2945603719243,0.209593754368441,0.624223528415956,-4.58072579478431
