"gene","selection","variance","detection_fraction"
"LMNA","high_variance",1.02242909722482,0.972171651495449
"CYB5R3","high_variance",1.01883096041905,0.950195058517555
"PDLIM3","high_variance",1.01534752147624,0.769050715214564
"TM4SF1","high_variance",1.0146043455726,0.729908972691808
"SRGN","high_variance",1.00846183989858,0.929518855656697
"TSC22D3","high_variance",1.00832699479614,0.945253576072822
"HLA-DMB","high_variance",1.00724527493522,0.565279583875163
"PLAUR","high_variance",1.00290968984521,0.709232769830949
"PPP1R15A","high_variance",1.00181419812757,0.846814044213264
"IGFBP6","high_variance",0.997407401440656,0.71742522756827
"TNFAIP3","high_variance",0.992569951581862,0.653966189856957
"IGFBP3","high_variance",0.991534558088602,0.658777633289987
"FCGR3A","high_variance",0.99108690602824,0.534330299089727
"ITGBL1","high_variance",0.990120491056154,0.612743823146944
"NNMT","high_variance",0.987369265074497,0.78036410923277
"IFITM1","high_variance",0.986382687688284,0.824577373211964
"TMEM176B","high_variance",0.982497362659042,0.562808842652796
"CSF1R","canonical_or_high_variance",0.976790314141419,0.52704811443433
"CD59","high_variance",0.97662662707477,0.966970091027308
"CDH13","high_variance",0.974286527306087,0.800650195058518
"CXCL16","high_variance",0.97235327930221,0.749284785435631
"PDLIM7","high_variance",0.971765780813058,0.871781534460338
"ITGAX","high_variance",0.969497377270451,0.585695708712614
"LILRB4","high_variance",0.967692403043629,0.520156046814044
"ENSG00000250644","high_variance",0.964976357350642,0.949414824447334
"KLF6","high_variance",0.961190471580821,0.962808842652796
"XIST","high_variance",0.958241233764873,0.502470741222367
"MXRA8","high_variance",0.95546786114002,0.593888166449935
"LHFPL6","high_variance",0.951550236533476,0.686085825747724
"F13A1","high_variance",0.951514255684264,0.441352405721717
"IER2","high_variance",0.950812650145714,0.873602080624187
"MS4A7","high_variance",0.947611184964894,0.56371911573472
"FBLN1","high_variance",0.946209025023152,0.585435630689207
"GEM","high_variance",0.945681394082546,0.683485045513654
"LPP","high_variance",0.94542151741049,0.971651495448635
"TNC","high_variance",0.944857865452511,0.559947984395319
"CCL3L1","high_variance",0.943501818470464,0.560468140442133
"COTL1","high_variance",0.943040857160749,0.754226267880364
"DNAJB1","high_variance",0.938233575816909,0.926007802340702
"ACTN1","high_variance",0.938017372064951,0.969180754226268
"MSR1","canonical_or_high_variance",0.93668123504654,0.565279583875163
"SLCO2B1","high_variance",0.926384806321736,0.564499349804941
"CXCL2","high_variance",0.925761560229889,0.598049414824447
"TNS1","high_variance",0.921226398871499,0.899739921976593
"CD44","high_variance",0.913112482997445,0.892717815344603
"CNN3","high_variance",0.911778039294461,0.729518855656697
"CD83","high_variance",0.902781848904001,0.516254876462939
"LAMB2","high_variance",0.900424335358177,0.85851755526658
"HLA-DQA1-ENSG00000196735","high_variance",0.899612976147064,0.561768530559168
"CTSH","high_variance",0.898456236803107,0.659297789336801
"AIF1","canonical_or_high_variance",0.897346662227248,0.549154746423927
"ELN","high_variance",0.895873156734328,0.680104031209363
"SPTBN1","high_variance",0.893638092486671,0.751365409622887
"COL15A1","high_variance",0.891981833767953,0.594148244473342
"SERPINE1","high_variance",0.890110022567035,0.762548764629389
"THY1","high_variance",0.888943086487486,0.543953185955787
"CD53","high_variance",0.880266251135422,0.537841352405722
"DAB2","high_variance",0.877626645490821,0.883745123537061
