"gene","logFC","SE","statistic","P_value","FDR","mean_expression","logCPM","F","PValue"
"KLHL5",0.148875995149021,,0.581132760936734,0.459568416796297,0.950898411535146,5.70792941750685,5.70792941750685,0.581132760936734,0.459568416796297
"KLHL6",0.401221445941301,,1.3239633735389,0.270745705623599,0.950898411535146,5.83910361398784,5.83910361398784,1.3239633735389,0.270745705623599
"KLHL6-AS1",-0.151794080968804,,1.925925332603,0.188689236486214,0.950898411535146,3.34165465930246,3.34165465930246,1.925925332603,0.188689236486214
"KLHL7",-0.107877011907729,,0.838590208530207,0.376585981533462,0.950898411535146,4.79247079409752,4.79247079409752,0.838590208530207,0.376585981533462
"KLHL7-AS1",-0.0642487836784948,,0.218786537236571,0.647763178307514,0.971197061768011,2.5682131960941,2.5682131960941,0.218786537236571,0.647763178307514
"KLHL8",-0.0670187212882998,,0.362662343677379,0.55745914416526,0.960968845067288,4.49610205091077,4.49610205091077,0.362662343677379,0.55745914416526
"KLHL9",-0.118615709278604,,0.850248957783027,0.373390644936508,0.950898411535146,5.89000780930632,5.89000780930632,0.850248957783027,0.373390644936508
"KLK10",0.089357253618827,,0.20280797236074,0.659939736301106,0.972027986097391,0.847724233614019,0.847724233614019,0.20280797236074,0.659939736301106
"KLK11",-0.16657888790208,,0.59829260708175,0.453276711693694,0.950898411535146,-0.451646774616958,-0.451646774616958,0.59829260708175,0.453276711693694
"KLK2",-0.0292009076055176,,0.0186453675176124,0.893499673132274,0.992169524526781,0.227312200853842,0.227312200853842,0.0186453675176124,0.893499673132274
"KLK7",-0.0139862930526894,,0.00165081799341656,0.968219324608579,0.997139382272767,-0.62899615521971,-0.62899615521971,0.00165081799341656,0.968219324608579
"KLKB1",0.118225519964214,,0.12723257747672,0.727085459318528,0.977264589146908,0.913086165852057,0.913086165852057,0.12723257747672,0.727085459318528
"KLLN",-0.472329166221541,,5.51663633291169,0.0354477021938853,0.950898411535146,0.843511999399707,0.843511999399707,5.51663633291169,0.0354477021938853
"KLRAP1",-0.00459196663316474,,0.000394543281051442,0.984456270033601,0.998909218793276,2.34333287930932,2.34333287930932,0.000394543281051442,0.984456270033601
"KLRB1",0.262468258948111,,0.34278984511445,0.568318001280487,0.961558796695341,1.80802412345743,1.80802412345743,0.34278984511445,0.568318001280487
"KLRC1",-0.16548287797907,,0.202315225823254,0.660327970604101,0.972027986097391,0.568592389435728,0.568592389435728,0.202315225823254,0.660327970604101
"KLRC3",0.286304404584705,,0.23059946935836,0.639219575665964,0.970186164394099,-0.701494917213834,-0.701494917213834,0.23059946935836,0.639219575665964
"KLRC4",0.305557629096447,,0.705660589317363,0.416265645201873,0.950898411535146,-0.218849111047416,-0.218849111047416,0.705660589317363,0.416265645201873
